,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2024-09-20 11:50:15.000000,2024-09-20 11:49:28,2444.0,1.0,824.0,203.0,693.0,20.0,985.0,10049.0,2024-03-04 20:46:54.000,7.7.4,116.0,thumbor is an open-source photo thumbnail service by globo.com.,406.0,359.0,201.0,31,https://pypi.org/project/thumbor,2024-03-04 20:31:35.000,47.0,13783.0,13783.0,True,1,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2024-09-30 16:29:02.000000,2024-09-27 18:44:30,4699.0,89.0,60.0,96.0,2102.0,46.0,325.0,189.0,2024-09-03 17:31:54.000,3.0.97,316.0,Digital commerce toolkit for frontend developers.,386.0,380.0,99.0,29,,,,,1597.0,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-08-17 15:48:58.811,6.0,1597.0,,,,,,,,,,,,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2024-01-08 19:23:27.000000,2024-01-08 19:19:36,171.0,,34.0,32.0,64.0,1.0,21.0,96.0,2024-01-08 19:23:27.000,5.1.8,50.0,remotecv is an OpenCV server for facial and feature recognition.,45.0,42.0,24.0,21,https://pypi.org/project/remotecv,2024-01-08 19:23:27.000,3.0,4643.0,4643.0,True,1,,,,,,,,,,,,,,,,,,
3,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2023-05-13 12:32:19.000000,2022-04-02 20:55:30,140.0,,34.0,28.0,43.0,3.0,15.0,63.0,2022-03-31 13:34:23.000,2.0.2,21.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,231.0,220.0,18.0,20,https://pypi.org/project/libthumbor,2022-03-31 13:32:59.000,11.0,24756.0,24756.0,False,3,,,,,,,,,,,,,,,,,,
4,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,2017-04-18 07:37:47,163.0,,109.0,17.0,39.0,25.0,71.0,342.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,15.0,19,,,,,90782.0,False,1,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,10076835.0,,,,,,,
5,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2024-09-03 04:50:06.000000,2024-09-03 04:50:02,162.0,1.0,84.0,15.0,83.0,2.0,78.0,304.0,,,,The quickest way to run thumbor.,,,27.0,18,,,,,100377.0,True,2,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2023-04-26 14:23:16.465233,26.0,7427919.0,,,,,,,
6,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2023-07-24 09:16:22.000000,2022-12-07 16:24:38,254.0,,70.0,13.0,64.0,5.0,90.0,155.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,2.0,,37.0,18,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,2.0,1874.0,1874.0,False,1,,,,,,,,,,,,14.0,,,,,,
7,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2023-07-24 09:16:22.000000,2022-12-07 16:24:38,254.0,,70.0,13.0,64.0,5.0,90.0,155.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,2.0,,37.0,18,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,2.0,1874.0,1874.0,False,1,,,,,,,,,,,,14.0,,,,,,
8,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-09-02 19:48:11.000000,2024-09-02 19:47:19,158.0,2.0,20.0,24.0,97.0,2.0,13.0,34.0,2024-01-08 18:58:58.000,0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,21.0,20.0,15.0,18,https://pypi.org/project/thumbor-plugins-gifv,2024-01-08 18:58:58.000,1.0,9453.0,9453.0,True,1,,,,,,,,,,,,,,,,,,
9,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2024-09-23 19:16:43.000000,2024-09-12 03:54:39,209.0,23.0,17.0,6.0,239.0,3.0,28.0,23.0,2024-09-02 21:11:46.000,0.8.1,11.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,18,https://pypi.org/project/thumbor-aws,2024-03-14 20:52:04.000,,1552.0,1552.0,True,1,,,,,,,,,,,,,,,,,,
