,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,github_release_downloads,trending,npm_dependent_project_count,docs_url
10,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,6.0,13.0,30.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,2.0,2.0,13.0,16,https://pypi.org/project/thumbor-plugins-gifv,2022-02-22 07:47:37,,1179.0,1179.0,True,1,,,,,,,,,,,,,,,,,,
11,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,6.0,13.0,30.0,2022-02-22 09:16:05.000,0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,2.0,2.0,13.0,15,https://pypi.org/project/thumbor-plugins-jpegrecompress,2022-02-22 09:16:05,,25.0,25.0,True,2,,,,,,,,,,,,,,,,,,
12,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2022-04-07 12:29:59.000000,2022-04-07 12:28:01,149.0,12.0,4.0,2.0,20.0,1.0,11.0,17.0,2022-04-07 12:29:59.000,2.0.0,19.0,Django storage backend for Thumbor.,6.0,5.0,5.0,15,https://pypi.org/project/django-thumborstorage,2022-04-07 12:29:59,1.0,537.0,537.0,True,1,,,,,,,,,,,,,,,,,,
13,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2022-04-26 21:43:15.000000,2022-04-26 21:43:14,527.0,53.0,2.0,,428.0,2.0,1.0,4.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,10.0,7.0,5.0,15,,,,,777.0,True,1,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,777.0,,,,,,,,,,,,3.0,
14,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,6.0,13.0,30.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,2.0,2.0,13.0,14,https://pypi.org/project/thumbor-plugins-mozjpeg,2022-02-22 07:53:17,,39.0,39.0,True,2,,,,,,,,,,,,,,,,,,
15,thumbor-plugins-pngcrush,thumbor/thumbor-plugins,thumbor-plugins-pngcrush,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,6.0,13.0,30.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,2.0,2.0,13.0,14,https://pypi.org/project/thumbor-plugins-pngcrush,2022-02-22 07:50:05,,29.0,29.0,True,2,,,,,,,,,,,,,,,,,,
16,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,6.0,13.0,30.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,2.0,2.0,13.0,14,https://pypi.org/project/thumbor-plugins-jp2,2022-02-22 07:44:11,,29.0,29.0,True,2,,,,,,,,,,,,,,,,,,
17,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,6.0,13.0,30.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,2.0,2.0,13.0,14,https://pypi.org/project/thumbor-plugins-optipng,2022-02-22 07:40:01,,28.0,28.0,True,2,,,,,,,,,,,,,,,,,,
18,thumbor-plugins-pngquant,thumbor/thumbor-plugins,thumbor-plugins-pngquant,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,6.0,13.0,30.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,2.0,2.0,13.0,14,https://pypi.org/project/thumbor-plugins-pngquant,2022-02-22 09:13:15,,30.0,30.0,True,2,,,,,,,,,,,,,,,,,,
19,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,26.0,22.0,16.0,14.0,11.0,24.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,2.0,,8.0,14,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56,2.0,430.0,430.0,False,1,,,,,,,,,,,,,,,11.0,,,
20,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2017-09-07 07:05:18.804000,,,,13.0,,,3.0,,20.0,2017-09-07 07:05:18.804,0.1.5,6.0,Client Thumbor for Node JS.,11.0,,5.0,14,,,,,11119.0,False,2,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,11119.0,,,,,,,,,,,,11.0,
21,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2022-01-28 11:03:18.000000,2022-01-28 11:03:16,111.0,2.0,19.0,2.0,16.0,2.0,9.0,88.0,2017-12-10 16:34:38.000,0.5.7,12.0,A django app with templatetags for resizing images with thumbor.,29.0,22.0,7.0,13,https://pypi.org/project/django-thumbor,2017-12-10 16:34:38,7.0,2094.0,2094.0,True,2,,,,,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/
22,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2021-08-11 17:54:10.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,9.0,1.0,,7.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,3.0,2.0,6.0,13,,,,,2666.0,True,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,2666.0,,,,,,,,,,,,1.0,
23,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-04-27 02:50:31.000000,2022-04-27 02:33:59,72.0,46.0,7.0,5.0,20.0,2.0,6.0,3.0,2022-04-20 19:58:43.000,0.4.1,6.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,5.0,13,https://pypi.org/project/thumbor-aws,2022-04-20 19:53:42,,125.0,125.0,True,2,,,,,,,,,,,,,,,,1.0,,
24,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-04-27 02:50:31.000000,2022-04-27 02:33:59,72.0,46.0,7.0,5.0,20.0,2.0,6.0,3.0,2022-04-20 19:58:43.000,0.4.1,6.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,5.0,13,https://pypi.org/project/thumbor-aws,2022-04-20 19:53:42,,125.0,125.0,True,2,,,,,,,,,,,,,,,,1.0,,
25,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2022-03-16 20:21:11.000000,2022-03-15 14:50:24,22.0,8.0,11.0,6.0,4.0,3.0,1.0,10.0,2022-03-16 20:21:11.000,2.0.0,2.0,Redis support.,1.0,,4.0,12,https://pypi.org/project/tc_redis,2015-10-14 14:00:17,1.0,571.0,571.0,True,3,,,,,,,,,,,,,,,,,,
26,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2022-02-16 01:17:21.000000,2022-02-16 01:15:47,53.0,2.0,2.0,3.0,2.0,4.0,5.0,21.0,2022-02-16 01:17:21.000,1.2.3,9.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,,,2.0,10,https://pypi.org/project/thumbor-video-engine,2022-02-16 01:17:21,,99.0,99.0,True,3,,,,,,,,,,,,,,,,,,
27,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2022-03-11 23:25:43.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,8.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,1.0,,,10,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04,1.0,10.0,10.0,False,2,,,,,,,,,,,,,,,,,,
28,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,2.0,4.0,3.0,2.0,,3.0,2015-11-04 19:00:35.000,5.1.0,1.0,thumbor-memcached provides storages using memcached as a backend.,21.0,17.0,4.0,10,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35,4.0,195.0,195.0,False,3,,,,,,,,,,,,,,,,,,
29,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2022-04-18 23:04:02.000000,2021-10-25 09:43:39,142.0,,,1.0,247.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,,,6.0,10,,,,,82.0,True,2,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,82.0,,,,,,,,,,,,,
30,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2020-01-28 17:52:23.000000,2020-01-28 17:52:17,46.0,,3.0,2.0,1.0,,,5.0,2019-08-05 15:20:38.695,2.2.0,10.0,Thumbor client for JavaScript.,,,2.0,9,,,,,758.0,False,3,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,758.0,,,,,,,,,,,,,
31,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2022-03-30 19:07:30.000000,2022-03-30 19:07:21,229.0,2.0,2.0,1.0,41.0,1.0,,2.0,2021-11-18 19:33:11.000,0.0.19,20.0,A Thumbor server extension for DASH.,,,6.0,9,https://pypi.org/project/thumbor_dash,2021-11-18 19:33:11,,28.0,28.0,True,3,,,,,,,,,,,,,,,,,,
32,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,5.0,,1.0,6.0,1.0,4.0,16.0,2022-01-30 13:01:15.000,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,8,https://pypi.org/project/thumbor-wand-engine,2022-01-30 12:53:35,,47.0,47.0,True,3,,,,,,,,,,,,,,,,,,
33,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,4.0,4.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,8,,,,,334.0,False,3,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,17083.0,,,,,,,,
34,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2017-11-02 23:29:35.000000,2017-03-17 15:38:17,11.0,,4.0,2.0,1.0,2.0,1.0,5.0,2017-03-17 15:47:29.000,0.1.1,2.0,Thumbor Prometheus metrics extension.,1.0,,,8,https://pypi.org/project/tc-prometheus,2017-03-17 15:47:29,1.0,264.0,264.0,False,1,,,,,,,,,,,,,,,,,,
35,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-03-07 12:52:09.000000,2022-02-02 18:51:50,20.0,3.0,1.0,31.0,2.0,,1.0,2.0,2018-06-01 19:03:03.000,0.2.2,5.0,Distributed collage is a filter for creating side-by-side images.,,,3.0,8,https://pypi.org/project/thumbor-distributed-collage-filter,2022-02-02 18:50:39,,25.0,25.0,True,1,,,,,,,,,,,,,,,,1.0,,
36,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421000,2021-09-09 17:18:46,19.0,,1.0,2.0,1.0,,2.0,2.0,2021-09-09 17:19:50.421,2.0.0,3.0,a URL builder for Thumbor.,1.0,1.0,2.0,8,,,,,1096.0,True,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,1096.0,,,,,,,,,,,,,
37,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:51:14.941000,2021-02-15 18:45:44,10.0,,,3.0,,,,1.0,2021-02-15 18:51:14.941,1.1.0,2.0,Thumbor Upload.,,,2.0,8,,,,,14.0,False,3,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,2021-02-15 18:51:14.941,14.0,,,,,,,,,,,,,
