,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,trending,updated_github_id
13,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2017-09-07 07:05:18.804000,,,,13.0,,,3.0,,20.0,2017-09-07 07:05:18.804,0.1.5,6.0,Client Thumbor for Node JS.,11.0,,5.0,14,,,,,11517.0,False,1,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,11.0,11517.0,,,,,,,,,,,,,
14,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2022-11-04 23:33:19.000000,2022-11-04 23:33:16,650.0,58.0,2.0,,556.0,2.0,1.0,9.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,10.0,7.0,6.0,14,,,,,99.0,True,1,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,3.0,99.0,,,,,,,,,,,,,
15,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-09-29 02:26:36.000000,2022-03-17 08:51:00,137.0,,19.0,18.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,8.0,8.0,13.0,12,https://pypi.org/project/thumbor-plugins-mozjpeg,2022-02-22 07:53:17,,30.0,30.0,True,2,,,,,,,,,,,,,,,,,,,
16,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-09-29 02:26:36.000000,2022-03-17 08:51:00,137.0,,19.0,18.0,57.0,6.0,13.0,31.0,2022-02-22 09:16:05.000,0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,8.0,8.0,13.0,12,https://pypi.org/project/thumbor-plugins-jpegrecompress,2022-02-22 09:16:05,,20.0,20.0,True,2,,,,,,,,,,,,,,,,,,,
17,thumbor-plugins-pngcrush,thumbor/thumbor-plugins,thumbor-plugins-pngcrush,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-09-29 02:26:36.000000,2022-03-17 08:51:00,137.0,,19.0,18.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,8.0,8.0,13.0,12,https://pypi.org/project/thumbor-plugins-pngcrush,2022-02-22 07:50:05,,21.0,21.0,True,2,,,,,,,,,,,,,,,,,,,
18,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-09-29 02:26:36.000000,2022-03-17 08:51:00,137.0,,19.0,18.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,8.0,8.0,13.0,12,https://pypi.org/project/thumbor-plugins-optipng,2022-02-22 07:40:01,,21.0,21.0,True,2,,,,,,,,,,,,,,,,,,,
19,thumbor-plugins-pngquant,thumbor/thumbor-plugins,thumbor-plugins-pngquant,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-09-29 02:26:36.000000,2022-03-17 08:51:00,137.0,,19.0,18.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,8.0,8.0,13.0,12,https://pypi.org/project/thumbor-plugins-pngquant,2022-02-22 09:13:15,,23.0,23.0,True,2,,,,,,,,,,,,,,,,,,,
20,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2022-04-07 12:29:59.000000,2022-04-07 12:28:01,149.0,,4.0,2.0,20.0,1.0,11.0,17.0,2022-04-07 12:29:59.000,2.0.0,19.0,Django storage backend for Thumbor.,6.0,5.0,5.0,12,https://pypi.org/project/django-thumborstorage,2022-04-07 12:29:59,1.0,818.0,818.0,True,2,,,,,,,,,,,,,,,,,,,
21,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2021-08-11 17:54:10.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,9.0,1.0,,7.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,3.0,2.0,6.0,12,,,,,614.0,False,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,1.0,614.0,,,,,,,,,,,,,
22,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-09-29 02:26:36.000000,2022-03-17 08:51:00,137.0,,19.0,18.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,8.0,8.0,13.0,11,https://pypi.org/project/thumbor-plugins-jp2,2022-02-22 07:44:11,,17.0,17.0,True,3,,,,,,,,,,,,,,,,,,,
