,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,docs_url
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2022-02-09 02:33:54.000000,2022-02-04 23:25:24,2293.0,71.0,722.0,197.0,541.0,9.0,859.0,8810.0,2022-01-27 23:15:56,7.0.6,100.0,thumbor is an open-source photo thumbnail service by globo.com.,292.0,292.0,168.0,https://pypi.org/project/thumbor,6912.0,6912.0,34,True,1,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2022-02-11 00:15:56.000000,2022-02-09 22:22:57,3068.0,171.0,15.0,109.0,862.0,57.0,210.0,83.0,2022-02-04 16:27:42,1.5.0,8.0,Digital commerce toolkit for frontend developers.,24.0,24.0,58.0,,,11967.0,26,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,11967.0,,,,,,,,,,
2,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2021-11-17 18:44:40.000000,2017-04-18 07:37:47,163.0,,108.0,17.0,38.0,1.0,71.0,343.0,2017-03-27 14:32:19,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,16.0,,,118592.0,19,False,1,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,9487373.0,,,,,
3,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-02-09 17:31:25.000000,2020-03-16 10:07:44,238.0,,67.0,13.0,61.0,14.0,79.0,143.0,2020-03-16 10:10:05,6.2.15,20.0,Thumbor AWS extensions.,,,34.0,https://pypi.org/project/tc_aws,2471.0,2471.0,18,False,1,,,,,,,,,,8.0,1.0,,,
4,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-02-09 17:31:25.000000,2020-03-16 10:07:44,238.0,,67.0,13.0,61.0,14.0,79.0,143.0,2020-03-16 10:10:05,6.2.15,20.0,Thumbor AWS extensions.,,,34.0,https://pypi.org/project/tc_aws,2471.0,2471.0,18,False,1,,,,,,,,,,8.0,1.0,,,
5,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2022-01-31 03:41:03.000000,2022-01-29 03:01:13,115.0,5.0,27.0,28.0,28.0,6.0,7.0,83.0,2020-03-05 22:41:20,3.0.0,4.0,remotecv is an OpenCV server for facial and feature recognition.,24.0,24.0,14.0,https://pypi.org/project/remotecv,1930.0,1930.0,18,True,1,,,,,,,,,,,3.0,,,
6,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2022-01-21 17:14:34.800832,2022-01-09 16:29:33,143.0,2.0,59.0,11.0,48.0,5.0,51.0,231.0,,,,The quickest way to run thumbor.,,,21.0,,,64605.0,17,True,2,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2022-01-21 17:14:34.800832,20.0,2778053.0,,,,,
7,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,22.0,12.0,19.0,20.0,,5.0,43.0,2022-01-28 02:08:19,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,48.0,48.0,16.0,,,,17,True,1,,,,,,,,,,,,,,
8,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2020-11-26 10:42:18.000000,2020-02-29 15:53:45,136.0,,29.0,23.0,30.0,3.0,12.0,56.0,2020-02-29 16:02:27,2.0.1,7.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,,,17.0,https://pypi.org/project/libthumbor,15086.0,15086.0,16,False,3,,,,,,,,,,,,,,
9,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2022-01-24 03:28:36.000000,2022-01-24 03:28:36,152.0,14.0,82.0,23.0,33.0,,10.0,622.0,,,,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,,,15.0,,,,14,True,1,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,
