,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,new_addition,github_release_downloads,docs_url,npm_dependent_project_count
10,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2022-01-24 22:57:39.000000,2022-01-24 22:57:37,473.0,36.0,1.0,,371.0,2.0,1.0,3.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,10.0,7.0,5.0,14,,,,,902,True,1,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,902.0,,,,,,,,,3.0
11,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2018-05-23 21:07:09.000000,2018-05-23 21:07:08,25.0,,26.0,20.0,15.0,14.0,11.0,24.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,2.0,,8.0,13,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56,2.0,514.0,514,False,1,,,,,,,,,,,,10.0,,
12,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2021-08-11 17:54:10.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,9.0,1.0,,6.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,2.0,1.0,6.0,12,,,,,1706,True,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,1706.0,,,,,,,,,1.0
13,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2020-02-13 13:33:09.000000,2020-02-13 13:33:08,137.0,,4.0,2.0,17.0,2.0,9.0,17.0,2019-07-22 13:31:42.000,1.12.0,17.0,Django storage backend for Thumbor.,6.0,5.0,5.0,11,https://pypi.org/project/django-thumborstorage,2019-07-22 13:31:42,1.0,542.0,542,False,2,,,,,,,,,,,,,,
14,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2021-11-18 21:26:35.000000,2021-11-18 21:26:35,227.0,25.0,2.0,1.0,40.0,1.0,,2.0,2021-11-18 19:33:11.000,0.0.19,20.0,A Thumbor server extension for DASH.,,,3.0,11,https://pypi.org/project/thumbor_dash,2021-11-18 19:33:11,,102.0,102,True,2,,,,,,,,,,,,,,
15,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2022-01-13 00:48:40.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,7.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,1.0,,,10,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04,1.0,11.0,11,False,2,,,,,,,,,,,,,,
16,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,2.0,4.0,3.0,2.0,,3.0,2015-11-04 19:00:35.000,5.1.0,1.0,thumbor-memcached provides storages using memcached as a backend.,21.0,17.0,4.0,10,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35,4.0,272.0,272,False,2,,,,,,,,,,,,,,
17,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2022-01-24 23:04:24.000000,2021-10-25 09:43:39,142.0,,,1.0,234.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,,,6.0,10,,,,,222,True,2,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,222.0,,,,,,,,,
18,thumbor-aws,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-01-25 19:54:43.000000,2022-01-23 21:09:55,23.0,23.0,1.0,4.0,2.0,,2.0,,2022-01-23 17:29:15.000,0.3.0,4.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,,10,https://pypi.org/project/thumbor-aws,2022-01-23 21:16:01,,126.0,126,True,2,,,,,,,,,,,,,,
19,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2022-01-25 19:01:08.000000,2022-01-25 18:44:23,51.0,2.0,2.0,3.0,2.0,4.0,4.0,18.0,2021-07-20 21:01:43.000,1.2.1,8.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,,,2.0,9,https://pypi.org/project/thumbor-video-engine,2021-08-14 18:54:38,,110.0,110,True,3,,,,,,,,,,,,,,
20,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2021-03-24 20:44:37.000000,2015-10-14 13:58:26,14.0,,8.0,5.0,2.0,3.0,1.0,9.0,2015-10-14 14:00:17.000,1.0.1,2.0,Redis support.,1.0,,,9,https://pypi.org/project/tc_redis,2015-10-14 14:00:17,1.0,339.0,339,False,3,,,,,,,,,,,,,,
21,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2020-01-28 17:52:23.000000,2020-01-28 17:52:17,46.0,,3.0,2.0,1.0,,,5.0,2019-08-05 15:20:38.695,2.2.0,10.0,Thumbor client for JavaScript.,,,2.0,9,,,,,564,False,3,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,564.0,,,,,,,,,
22,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,2.0,6.0,2.0,,9.0,,,11.0,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,8,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00,,47.0,47,False,2,,,,,,,,,,,,,,
23,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2017-11-02 23:29:35.000000,2017-03-17 15:38:17,11.0,,3.0,2.0,1.0,2.0,1.0,4.0,2017-03-17 15:47:29.000,0.1.1,2.0,Thumbor Prometheus metrics extension.,1.0,,,8,https://pypi.org/project/tc-prometheus,2017-03-17 15:47:29,1.0,212.0,212,False,1,,,,,,,,,,,,,,
24,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2020-06-30 13:25:48.000000,2020-06-30 13:23:39,17.0,,,3.0,1.0,1.0,,3.0,2017-08-21 20:31:57.000,0.2.0,4.0,Thumbor filter to convert between ICC profiles.,,,,8,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57,,29.0,29,False,1,,,,,,,,,,,,,,
25,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421000,2021-09-09 17:18:46,19.0,,1.0,2.0,1.0,,2.0,2.0,2021-09-09 17:19:50.421,2.0.0,3.0,a URL builder for Thumbor.,1.0,1.0,2.0,8,,,,,725,True,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,725.0,,,,,,,,,
26,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:51:14.941000,2021-02-15 18:45:44,10.0,,,3.0,,,,1.0,2021-02-15 18:51:14.941,1.1.0,2.0,Thumbor Upload.,,,2.0,8,,,,,6,True,3,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,2021-02-15 18:51:14.941,6.0,,,,,,,,,
27,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,MIT,2019-08-30 21:22:05,2019-09-03 14:21:23.359000,2019-08-31 17:46:27,45.0,,,,,,,1.0,2019-09-03 14:21:23.359,1.0.2,3.0,Thumbor client for RN.,,,3.0,8,,,,,32,False,3,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,2019-09-03 14:21:23.359,32.0,,,,,,,,,
28,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,8,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12,,38.0,38,False,2,,,,,,,,,,,,,,
29,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,8,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12,,38.0,38,False,1,,,,,,,,,,,,,,
30,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/dekproject/thumbor,https://github.com/dekproject/thumbor,MIT,2020-08-07 16:40:16,2020-08-07 20:24:48.049000,2020-08-07 20:24:22,3.0,,,1.0,,,,,2020-08-07 20:24:48.049,1.0.1,2.0,Thumbor interface plugin for DEK.,,,,8,,,,,9,False,3,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,2020-08-07 20:24:48.049,9.0,,,,,,,,,
31,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-24 23:36:05.000000,2022-01-24 21:22:42,91.0,5.0,,1.0,5.0,2.0,3.0,13.0,2021-03-18 14:14:35.000,0.1.0,1.0,ImageMagick engine for Thumbor.,,,2.0,7,https://pypi.org/project/thumbor-wand-engine,2021-03-18 14:14:35,,26.0,26,True,3,,,,,,,,,,,,,,
32,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2020-03-09 07:43:49.000000,2017-12-18 19:31:30,13.0,,1.0,2.0,1.0,1.0,,4.0,2017-12-15 17:26:59.000,0.0.7,7.0,Thumbor PDF Preview.,,,,7,https://pypi.org/project/tc_pdf,2017-12-15 17:22:33,,36.0,36,False,1,,,,,,,,,,,,,,
33,thumbor-padding,arcivr/thumbor-padding,thumbor-padding,[],filters,https://github.com/arcivr/thumbor-padding,https://github.com/arcivr/thumbor-padding,MIT,2018-08-08 14:41:30,2022-01-24 16:48:35.000000,2022-01-24 16:48:35,5.0,1.0,,3.0,,,1.0,2.0,2018-08-08 14:54:56.000,1.0.0,1.0,Padding filter for thumbor.,,,,7,https://pypi.org/project/thumbor-padding,2018-08-08 14:54:56,,11.0,11,True,2,,,,,,,,,,,,,,
34,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-01-10 17:45:22.000000,2022-01-08 01:46:52,17.0,5.0,1.0,13.0,1.0,,1.0,2.0,2018-06-01 19:03:03.000,0.2.2,4.0,Distributed collage is a filter for creating side-by-side images.,,,3.0,7,https://pypi.org/project/thumbor-distributed-collage-filter,2018-06-01 19:03:03,,23.0,23,True,2,,,,,,,,,,,,,,
35,thumbor-expire,HonQii/thumbor-expire,thumbor-expire,"['python3', 'thumbor7']",url-signers,https://github.com/HonQii/thumbor-expire,https://github.com/HonQii/thumbor-expire,MIT,2021-04-21 10:23:54,2021-05-09 05:30:13.000000,2021-05-09 05:28:44,9.0,,,2.0,,,,1.0,2021-05-09 05:30:13.000,0.1.3,4.0,Add timeout verification for thumbor.,,,,7,https://pypi.org/project/thumbor-expire,2021-05-09 05:30:13,,21.0,21,True,1,,,,,,,,,,,,,,
36,thumbor-multidir,benneic/thumbor_multidir,thumbor-multidir,[],loaders,https://github.com/benneic/thumbor_multidir,https://github.com/benneic/thumbor_multidir,MIT,2020-02-13 05:05:54,2020-02-17 23:58:13.000000,2020-02-17 23:57:53,11.0,,,1.0,,,,,2020-02-17 23:58:13.000,0.2.8,9.0,Thumbor file loader plugin that search multiple paths on disk.,,,,7,https://pypi.org/project/thumbor-multidir,2020-02-17 23:58:13,,53.0,53,False,3,,,,,,,,,,,,,,
37,remotecv-multidir,benneic/remotecv_multidir,remotecv-multidir,[],detectors,https://github.com/benneic/remotecv_multidir,https://github.com/benneic/remotecv_multidir,MIT,2020-03-02 23:44:27,2020-03-03 01:11:42.000000,2020-03-03 01:11:34,2.0,,,1.0,,1.0,,,2020-03-03 01:02:50.000,0.1.1,2.0,RemoteCV image loader from multiple local directories.,,,,7,https://pypi.org/project/remotecv-multidir,2020-03-03 01:02:50,,17.0,17,False,3,,,,,,,,,,,,,,
38,remotecv-redis,benneic/remotecv_redis,remotecv-redis,[],detectors,https://github.com/benneic/remotecv_redis,https://github.com/benneic/remotecv_redis,MIT,2020-01-20 01:00:05,2020-03-02 01:15:14.000000,2020-03-02 01:15:02,15.0,,,1.0,,1.0,,,2020-03-02 01:15:14.000,0.2.3,5.0,Adds loading images directly from Redis storage i.e. from Thumbor.,,,,7,https://pypi.org/project/remotecv-redis,2020-03-02 01:15:14,,31.0,31,False,3,,,,,,,,,,,,,,
39,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,https://github.com/MindGeekOSS/mg_thumbor,https://github.com/MindGeekOSS/mg_thumbor,MIT,2017-08-18 21:27:28,2017-08-21 20:31:57.000000,2017-08-21 20:31:18,6.0,,,7.0,,,,,2017-08-21 20:31:57.000,0.2.0,4.0,A filter for clipping images differently than what thumbor does.,,,2.0,7,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57,,29.0,29,False,2,,,,,,,,,,,,,,
40,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,https://github.com/sport1online/thumbor-focus-filter,MIT,2018-05-04 16:38:20,2018-06-12 20:07:11.000000,2018-06-08 13:51:00,13.0,,,15.0,,1.0,,,2018-06-12 20:07:11.000,0.2.1,3.0,A Focus filter for Thumbor.,,,,7,https://pypi.org/project/thumbor-focus-filter,2018-06-12 20:07:11,,16.0,16,False,2,,,,,,,,,,,,,,
41,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],python-url-and-framework,https://github.com/dgarana/thumbor-aliases,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-06-16 14:42:58.000000,2019-06-16 14:42:20,19.0,,1.0,2.0,1.0,2.0,1.0,,2019-02-18 23:45:57.000,0.0.3,3.0,Thumbor URL Aliases.,,,4.0,7,https://pypi.org/project/thumbor-aliases,2019-02-18 23:45:57,,16.0,16,False,3,,,,,,,,,,,,,,
42,thumbor-request-modifier-http-loader,dffrntmedia/thumbor-request-modifier-http-loader,thumbor-request-modifier-http-loader,[],loaders,https://github.com/dffrntmedia/thumbor-request-modifier-http-loader,https://github.com/dffrntmedia/thumbor-request-modifier-http-loader,GPL-3.0,2020-12-01 18:32:39,2020-12-02 14:19:38.000000,2020-12-02 14:18:51,18.0,,,3.0,,1.0,,1.0,,,10.0,Custom HTTP loader for Thumbor which allows modifying client request when certain conditions are met.,,,,6,https://pypi.org/project/thumbor-request-modifier-http-loader,2020-12-02 14:19:38,,50.0,50,False,3,,,,,,,,,,,,,,
43,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2021-04-06 06:07:47.000000,2021-03-31 09:26:02,15.0,,,1.0,,,,1.0,2021-04-06 06:07:47.000,0.1.4,5.0,"Thumbor ArcFace can recognize side faces, higher recognition rate.",,,,6,https://pypi.org/project/thumbor-arcface,2021-03-31 09:29:29,,29.0,29,True,3,,,,,,,,,,,,,,
44,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 15:38:15.000000,2019-02-07 14:59:18,8.0,,,1.0,,1.0,,,,,3.0,Thumbor plugin for Apache Cassandra.,,,2.0,6,https://pypi.org/project/thumbor-cassandra,2019-02-07 15:38:15,,10.0,10,False,3,,,,,,,,,,,,,,
45,react-thumbor,clayrisser/react-thumbor,,"['node', 'react', 'thumbor7']",js-url-and-framework,https://github.com/clayrisser/react-thumbor,https://github.com/clayrisser/react-thumbor,,2016-12-06 00:06:20,2016-12-07 06:32:56.000000,2016-12-07 06:32:34,25.0,,,1.0,,,,,2016-12-07 06:32:52.067,0.1.21,21.0,react-thumbor.,,,,6,,,,,47,False,3,,react-thumbor,https://www.npmjs.com/package/react-thumbor,2016-12-07 06:32:52.067,47.0,,,,,,,,,
46,nuxt-thumbor,itplusx/nuxt-thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/itplusx/nuxt-thumbor,https://github.com/itplusx/nuxt-thumbor,MIT,2020-08-31 12:29:41,2020-09-02 06:28:41.880000,2020-09-02 06:08:55,3.0,,,3.0,,,,,2020-09-02 06:28:41.880,0.1.1,1.0,Thumbor module for NuxtJS.,,,,6,,,,,9,False,3,,@itplusx/nuxt-thumbor,https://www.npmjs.com/package/@itplusx/nuxt-thumbor,2020-09-02 06:28:41.880,9.0,,,,,,,,,
47,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:01:38.000000,2017-02-27 13:00:30,3.0,,,1.0,,1.0,,,2017-02-27 13:01:38.000,0.1.1,2.0,Allow checking of http status code for all requests even if cached.,,,,5,https://pypi.org/project/thumbor_head,2017-02-27 13:01:38,,6.0,6,False,3,,,,,,,,,,,,,,
