,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,docs_url,maven_id,maven_url,npm_latest_release_published_at,npm_dependent_project_count,trending,updated_github_id
29,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,,,1.0,6.0,2.0,4.0,17.0,2022-01-30 13:01:15.000,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,https://pypi.org/project/thumbor-wand-engine,1264.0,1264.0,9,False,3.0,,,,,2022-01-30 12:53:35,,,,,,,,,,,,,,
30,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2023-01-04 21:39:59.000000,2021-05-25 05:57:57,46.0,,3.0,2.0,10.0,1.0,,8.0,,,,A React Component that generates images with valid Thumbor URLs for you.,7.0,7.0,6.0,,,897.0,9,False,2.0,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,897.0,,,,,,,,,,,,,,,
31,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,1.0,3.0,3.0,2.0,,4.0,,,,thumbor-memcached provides storages using memcached as a backend.,23.0,23.0,4.0,https://pypi.org/project/thumbor-memcached,362.0,362.0,9,False,3.0,,,,,,,,,,,,,,,,,,,
32,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2024-10-03 23:43:05.000000,2024-10-03 23:43:03,253.0,,3.0,1.0,49.0,2.0,,3.0,2022-06-11 00:32:45.000,0.0.20,21.0,A Thumbor server extension for DASH.,,,4.0,https://pypi.org/project/thumbor_dash,,,9,False,3.0,,,,,2022-06-11 00:32:45,,,,,,,,,,,,,,
33,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2025-12-15 14:04:51.000000,2024-09-09 14:54:33,24.0,,2.0,3.0,26.0,5.0,1.0,28.0,2023-06-19 19:32:33.000,2.0.3,5.0,PHP implementation of URL generator for Thumbor.,,,4.0,,,,8,False,1.0,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/,,,,,,
34,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2023-08-25 05:53:24.000000,2023-08-25 05:53:24,46.0,,4.0,2.0,10.0,5.0,7.0,27.0,,,,Unofficial thumbor docker image.,,,5.0,,,80.0,8,False,3.0,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2023-07-20 06:15:29.292056,1.0,7361.0,,,,,,,,
35,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,5.0,6.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,,,326.0,8,False,3.0,,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,31979.0,,,,,,,,
36,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,1.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,26.0,26.0,8,False,2.0,,,,,2019-09-10 05:49:12,,,,,,,,,,,,,,
37,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,6.0,1.0,10.0,,2.0,33.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,4.0,4.0,8.0,,,,7,False,2.0,,,,,,,,,,,,,,,,,,,
38,thumbor-expire,HonQii/thumbor-expire,thumbor-expire,"['python3', 'thumbor7']",url-signers,https://github.com/HonQii/thumbor-expire,https://github.com/HonQii/thumbor-expire,MIT,2021-04-21 10:23:54,2021-05-09 05:30:13.000000,2021-05-09 05:28:44,9.0,,,1.0,,,,2.0,2021-05-09 05:30:13.000,0.1.3,4.0,Add timeout verification for thumbor.,,,,https://pypi.org/project/thumbor-expire,23.0,23.0,7,False,1.0,,,,,2021-05-09 05:30:13,,,,,,,,,,,,,,
