,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
53,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,https://github.com/MindGeekOSS/mg_thumbor,https://github.com/MindGeekOSS/mg_thumbor,MIT,2017-08-18 21:27:28,2017-08-21 20:31:57.000000,,,,,,,,,,2017-08-21 20:31:57.000,0.2.0,4.0,A filter for clipping images differently than what thumbor does.,,,1.0,7,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57.000,,28.0,28.0,False,2,,,,,,,,,,,,,,,,,,,
54,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,https://github.com/sport1online/thumbor-focus-filter,MIT,2018-05-04 16:38:20,2018-06-12 20:07:11.000000,2018-06-08 13:51:00,13.0,,,14.0,,1.0,,,2018-06-12 20:07:11.000,0.2.1,3.0,A Focus filter for Thumbor.,,,2.0,7,https://pypi.org/project/thumbor-focus-filter,2018-06-12 20:07:11.000,,14.0,14.0,False,2,,,,,,,,,,,,,,,,,,,
55,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],python-url-and-framework,https://github.com/dgarana/thumbor-aliases,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-06-16 14:42:58.000000,2019-06-16 14:42:20,19.0,,1.0,2.0,1.0,2.0,1.0,,2019-02-18 23:45:57.000,0.0.3,3.0,Thumbor URL Aliases.,,,4.0,7,https://pypi.org/project/thumbor-aliases,2019-02-18 23:45:57.000,,12.0,12.0,False,3,,,,,,,,,,,,,,,,,,,
56,react-thumbor,clayrisser/react-thumbor,,"['node', 'react', 'thumbor7']",js-url-and-framework,https://github.com/clayrisser/react-thumbor,https://github.com/clayrisser/react-thumbor,,2016-12-06 00:06:20,2022-08-22 12:29:32.000000,2016-12-07 06:32:34,25.0,,,2.0,,,,,2016-12-07 06:32:52.067,0.1.21,21.0,react-thumbor.,4.0,2.0,,7,,,,,54.0,False,3,,react-thumbor,https://www.npmjs.com/package/react-thumbor,2016-12-07 06:32:52.067,2.0,54.0,,,,,,,,,,,,,
57,thumbor-versionable,vjustov/thumbor-versionable,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/vjustov/thumbor-versionable,https://github.com/vjustov/thumbor-versionable,MPL-2.0,2014-12-14 00:00:32,2015-11-30 16:39:10.000000,2015-11-30 16:38:57,41.0,,4.0,3.0,14.0,3.0,7.0,10.0,,,,A Thumbor client that lets you specify versions of given image.,1.0,1.0,2.0,6,,,,,,False,3,,,,,,,,,,,,,,,,,,,
58,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-03-07 12:52:09.000000,2022-02-02 18:51:50,20.0,,1.0,32.0,2.0,,1.0,2.0,2018-06-01 19:03:03.000,0.2.2,5.0,Distributed collage is a filter for creating side-by-side images.,,,3.0,6,https://pypi.org/project/thumbor-distributed-collage-filter,2022-02-02 18:50:39.000,,15.0,15.0,False,3,,,,,,,,,,,,,,,,,,,
59,thumbor-request-modifier-http-loader,dffrntmedia/thumbor-request-modifier-http-loader,thumbor-request-modifier-http-loader,[],loaders,https://github.com/dffrntmedia/thumbor-request-modifier,https://github.com/dffrntmedia/thumbor-request-modifier,GPL-3.0,2020-12-01 18:32:39,2022-07-04 15:46:43.000000,2022-07-04 14:58:55,27.0,,,3.0,1.0,,1.0,1.0,,,10.0,Custom HTTP loader for Thumbor which allows modifying client request when certain conditions are met.,,,2.0,6,https://pypi.org/project/thumbor-request-modifier-http-loader,2020-12-02 14:19:38.000,,27.0,27.0,True,3,,,,,,,,,,,,,,,,,,,dffrntmedia/thumbor-request-modifier
60,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2021-04-06 06:07:47.000000,2021-03-31 09:26:02,15.0,,,2.0,,,,1.0,2021-04-06 06:07:47.000,0.1.4,5.0,"Thumbor ArcFace can recognize side faces, higher recognition rate.",,,,6,https://pypi.org/project/thumbor-arcface,2021-03-31 09:29:29.000,,20.0,20.0,False,3,,,,,,,,,,,,,,,,,,,
61,nuxt-thumbor,itplusx/nuxt-thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/itplusx/nuxt-thumbor,https://github.com/itplusx/nuxt-thumbor,MIT,2020-08-31 12:29:41,2020-09-02 06:28:41.880000,2020-09-02 06:08:55,3.0,,,3.0,,,,1.0,2020-09-02 06:28:41.880,0.1.1,1.0,Thumbor module for NuxtJS.,4.0,2.0,,6,,,,,2.0,False,3,,@itplusx/nuxt-thumbor,https://www.npmjs.com/package/@itplusx/nuxt-thumbor,2020-09-02 06:28:41.880,2.0,2.0,,,,,,,,,,,,,
62,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 15:38:15.000000,2019-02-07 14:59:18,8.0,,,1.0,,1.0,,,,,3.0,Thumbor plugin for Apache Cassandra.,,,2.0,6,https://pypi.org/project/thumbor-cassandra,2019-02-07 15:38:15.000,,7.0,7.0,False,3,,,,,,,,,,,,,,,,,,,
63,remotecv-redis,benneic/remotecv_redis,remotecv-redis,[],detectors,https://github.com/benneic/remotecv_redis,https://github.com/benneic/remotecv_redis,MIT,2020-01-20 01:00:05,2020-03-02 01:15:14.000000,2020-03-02 01:15:02,15.0,,,2.0,,1.0,,,2020-03-02 01:15:14.000,0.2.3,5.0,Adds loading images directly from Redis storage i.e. from Thumbor.,,,,6,https://pypi.org/project/remotecv-redis,2020-03-02 01:15:14.000,,14.0,14.0,False,3,,,,,,,,,,,,,,,,,,,
64,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:01:38.000000,2017-02-27 13:00:30,3.0,,,1.0,,1.0,,,2017-02-27 13:01:38.000,0.1.1,2.0,Allow checking of http status code for all requests even if cached.,,,,5,https://pypi.org/project/thumbor_head,2017-02-27 13:01:38.000,,5.0,5.0,False,3,,,,,,,,,,,,,,,,,,,
65,docker-alpine-vips,heynemann/docker-alpine-pyvips,,['docker'],hosting,https://github.com/heynemann/docker-alpine-pyvips,https://github.com/heynemann/docker-alpine-pyvips,MIT,2022-01-26 17:16:07,2022-01-27 23:41:07.473640,2022-01-27 23:28:55,10.0,,,2.0,1.0,,,1.0,,,,Docker image for pyvips development using alpine.,,,,4,,,,,75.0,False,3,,,,,,,,thumbororg/alpine-pyvips,https://hub.docker.com/r/thumbororg/alpine-pyvips,2022-01-27 23:41:07.473640,,1281.0,,,,,,,
