,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
20,thumbor-plugins-pngquant,thumbor/thumbor-plugins,thumbor-plugins-pngquant,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2023-05-29 21:33:30.000000,2023-05-29 21:32:10,138.0,1.0,19.0,19.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,14.0,14.0,13.0,12,https://pypi.org/project/thumbor-plugins-pngquant,2022-02-22 09:13:15.000,,28.0,28.0,True,2,,,,,,,,,,,,,,,,,,,
21,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2022-11-18 21:16:53.000000,2022-11-18 21:16:53,56.0,,7.0,13.0,5.0,5.0,6.0,27.0,2022-02-16 01:17:21.000,1.2.3,9.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,2.0,2.0,4.0,12,https://pypi.org/project/thumbor-video-engine,2022-02-16 01:17:21.000,,169.0,169.0,True,3,,,,,,,,,,,,,,,,,,,
22,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2022-04-07 12:29:59.000000,2022-04-07 12:28:01,149.0,,4.0,2.0,20.0,1.0,11.0,17.0,2022-04-07 12:29:59.000,2.0.0,19.0,Django storage backend for Thumbor.,6.0,5.0,5.0,12,https://pypi.org/project/django-thumborstorage,2022-04-07 12:29:59.000,1.0,239.0,239.0,False,2,,,,,,,,,,,,,,,,,,,
23,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2023-01-04 21:39:59.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,10.0,1.0,,7.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,8.0,5.0,6.0,12,,,,,623.0,False,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,3.0,623.0,,,,,,,,,,,,,
24,thumbor-plugins-pngcrush,thumbor/thumbor-plugins,thumbor-plugins-pngcrush,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2023-05-29 21:33:30.000000,2023-05-29 21:32:10,138.0,1.0,19.0,19.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,14.0,14.0,13.0,11,https://pypi.org/project/thumbor-plugins-pngcrush,2022-02-22 07:50:05.000,,16.0,16.0,True,3,,,,,,,,,,,,,,,,,,,
25,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2023-05-29 21:33:30.000000,2023-05-29 21:32:10,138.0,1.0,19.0,19.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,14.0,14.0,13.0,11,https://pypi.org/project/thumbor-plugins-jp2,2022-02-22 07:44:11.000,,18.0,18.0,True,3,,,,,,,,,,,,,,,,,,,
26,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2023-06-19 19:32:33.000000,2023-06-19 19:31:19,13.0,6.0,10.0,5.0,7.0,,,30.0,2023-06-19 19:32:33.000,2.0.3,5.0,PHP implementation of URL generator for Thumbor.,,,4.0,11,,,,,,True,1,,,,,,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/,
27,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2023-06-19 19:17:42.000000,2023-01-25 11:57:22,685.0,,2.0,1.0,605.0,2.0,1.0,14.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,13.0,9.0,6.0,11,,,,,92.0,True,2,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,4.0,92.0,,,,,,,,,,,,,
28,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2022-07-05 21:25:17.000000,2022-07-05 21:18:54,32.0,,14.0,5.0,8.0,2.0,4.0,12.0,2022-07-05 21:25:17.000,2.3.0,5.0,Redis support.,,,6.0,11,https://pypi.org/project/tc_redis,2022-07-05 21:25:17.000,,408.0,408.0,True,3,,,,,,,,,,,,,,,,,,,
29,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2023-05-17 10:12:59.000000,2023-05-17 00:14:51,21.0,8.0,2.0,2.0,2.0,,1.0,5.0,2023-05-17 10:12:59.000,1.0.0,8.0,Thumbor PDF Preview.,,,2.0,10,https://pypi.org/project/tc_pdf,2017-12-14 00:06:52.000,,74.0,74.0,True,1,,,,,,,,,,,,,2.0,,,,,,
30,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,2.0,4.0,3.0,2.0,,3.0,2015-11-04 19:00:35.000,5.1.0,1.0,thumbor-memcached provides storages using memcached as a backend.,22.0,18.0,4.0,10,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35.000,4.0,317.0,317.0,False,3,,,,,,,,,,,,,,,,,,,
31,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2022-11-15 08:33:01.000000,2022-05-16 05:46:48,39.0,,5.0,3.0,4.0,4.0,5.0,21.0,,,,Unofficial thumbor docker image.,,,4.0,9,,,,,82.0,False,3,,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2022-02-05 13:50:02.582077,1.0,4764.0,,,,,,,
32,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2022-11-22 01:21:48.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,9.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,1.0,,,9,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04.000,1.0,6.0,6.0,False,2,,,,,,,,,,,,,,,,,,,
33,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,3.0,6.0,2.0,,9.0,,,11.0,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,9,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00.000,,54.0,54.0,False,2,,,,,,,,,,,,,,,,,,,
34,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2022-08-19 07:49:47.000000,2022-08-19 07:49:29,31.0,,5.0,2.0,8.0,2.0,4.0,6.0,2022-08-19 07:56:21.980,2.0.0,4.0,Thumbor Prometheus metrics extension.,1.0,,2.0,9,https://pypi.org/project/tc-prometheus,2022-07-01 14:29:57.000,1.0,289.0,289.0,True,1,,,,,,,,,,,,,,,,,,,
35,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2020-01-28 17:52:23.000000,2020-01-28 17:52:17,46.0,,2.0,2.0,1.0,,,5.0,2019-08-05 15:20:38.695,2.2.0,10.0,Thumbor client for JavaScript.,1.0,,2.0,9,,,,,1631.0,False,2,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,1.0,1631.0,,,,,,,,,,,,,
36,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2022-07-12 02:43:19.000000,2022-07-12 02:43:19,249.0,,3.0,1.0,49.0,1.0,,2.0,2022-06-11 00:32:45.000,0.0.20,21.0,A Thumbor server extension for DASH.,,,4.0,9,https://pypi.org/project/thumbor_dash,2022-06-11 00:32:45.000,,79.0,79.0,True,3,,,,,,,,,,,,,,,,,,,
37,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2023-01-23 23:08:27.000000,2021-10-25 09:43:39,142.0,,,2.0,291.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,2.0,,6.0,9,,,,,11.0,False,2,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,2.0,11.0,,,,,,,,,,,,,
38,jekyll-thumbor,myles/jekyll-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/myles/jekyll-thumbor,https://github.com/myles/jekyll-thumbor,MIT,2017-03-21 13:13:47,2019-11-21 14:26:00.000000,2019-11-21 14:26:00,30.0,,2.0,3.0,1.0,1.0,1.0,,2017-06-22 16:00:19.000,0.4.2,2.0,A Jekyll template tag for Thumbor imaging service.,50.0,50.0,3.0,9,,,,,0.0,False,2,,,,,,,,,,,,,8.0,,,,,,
39,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,6.0,3.0,10.0,,2.0,33.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,3.0,3.0,8.0,8,,,,,,False,3,,,,,,,,,,,,,,,,,,,
40,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,,,2.0,6.0,2.0,4.0,17.0,2022-01-30 13:01:15.000,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,8,https://pypi.org/project/thumbor-wand-engine,2022-01-30 12:53:35.000,,151.0,151.0,False,3,,,,,,,,,,,,,,,,,,,
41,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,4.0,5.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,8,,,,,405.0,False,3,,,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,26366.0,,,,,,,
42,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2023-06-01 15:43:37.000000,2023-06-01 15:43:16,18.0,1.0,,3.0,1.0,1.0,,3.0,2017-08-21 20:31:57.000,0.2.0,4.0,Thumbor filter to convert between ICC profiles.,,,,8,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57.000,,28.0,28.0,True,1,,,,,,,,,,,,,,,,,,,
