,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,docs_url,maven_id,maven_url,pypi_latest_release_published_at,updated_github_id
30,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,,,1.0,6.0,2.0,4.0,17.0,2022-01-30 13:01:15.000,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,https://pypi.org/project/thumbor-wand-engine,1375.0,1375.0,9,False,3,,,,,,,,,,,,,,,,,,
31,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2024-10-03 23:43:05.000000,2024-10-03 23:43:03,253.0,,3.0,1.0,49.0,2.0,,3.0,2022-06-11 00:32:45.000,0.0.20,21.0,A Thumbor server extension for DASH.,,,4.0,https://pypi.org/project/thumbor_dash,,,9,False,3,,,,,,,,,,,,,,,,,2022-06-11 00:32:45,
32,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2023-01-23 23:08:27.000000,2021-10-25 09:43:39,142.0,,,1.0,291.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,8.0,3.0,6.0,,,62.0,9,False,3,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,5.0,62.0,,,,,,,,,,,,
33,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,MIT,2019-08-30 21:22:05,2019-09-03 14:21:23.359000,2019-08-31 17:46:27,45.0,,,,,,,1.0,2019-09-03 14:21:23.359,1.0.2,3.0,Thumbor client for RN.,5.0,2.0,3.0,,,80.0,9,False,3,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,2019-09-03 14:21:23.359,3.0,80.0,,,,,,,,,,,,
34,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2025-12-15 14:04:51.000000,2024-09-09 14:54:33,24.0,,2.0,3.0,26.0,5.0,1.0,28.0,2023-06-19 19:32:33.000,2.0.3,5.0,PHP implementation of URL generator for Thumbor.,,,4.0,,,,8,False,1,,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/,,,,
35,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2023-08-25 05:53:24.000000,2023-08-25 05:53:24,46.0,,4.0,2.0,10.0,5.0,7.0,27.0,,,,Unofficial thumbor docker image.,,,5.0,,,80.0,8,False,3,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2023-07-20 06:15:29.292056,1.0,7443.0,,,,,,,
36,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2023-10-03 21:02:37.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,10.0,2.0,,10.0,,,,Enable thumbor to use AWS rekognition to run face detection.,3.0,3.0,,https://pypi.org/project/thumbor_rekognition,12.0,12.0,8,False,2,,,,,,,,,,,,,,,,,,
37,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,5.0,6.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,,,323.0,8,False,3,,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,32000.0,,,,,,,
38,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421000,2021-09-09 17:18:46,19.0,,2.0,1.0,1.0,,2.0,2.0,2021-09-09 17:19:50.421,2.0.0,5.0,a URL builder for Thumbor.,10.0,5.0,2.0,,,76.0,8,False,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,5.0,76.0,,,,,,,,,,,,
39,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:51:14.941000,2021-02-15 18:45:44,10.0,,,2.0,,,,1.0,2021-02-15 18:51:14.941,1.1.0,2.0,Thumbor Upload.,5.0,2.0,2.0,,,4.0,8,False,3,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,2021-02-15 18:51:14.941,3.0,4.0,,,,,,,,,,,,
