,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,docs_url,maven_id,maven_url,pypi_latest_release_published_at,updated_github_id
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2026-04-17 02:12:10.000000,2026-04-12 15:26:23,2524.0,29.0,846.0,192.0,799.0,15.0,1002.0,10474.0,2025-05-15 16:32:04.000,7.7.7,100.0,thumbor is an open-source photo thumbnail service by globo.com.,385.0,385.0,207.0,https://pypi.org/project/thumbor,20280.0,20280.0,33,True,1,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2026-04-21 20:43:41.000000,2026-04-15 16:18:26,5436.0,53.0,77.0,89.0,2888.0,87.0,330.0,214.0,2026-02-19 13:10:59.000,3.97.0,316.0,Digital commerce toolkit for frontend developers.,6.0,,119.0,,,417.0,25,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-08-17 15:48:58.811,6.0,417.0,,,,,,,,,,,,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2026-04-01 22:05:52.000000,2026-03-15 21:57:48,194.0,16.0,34.0,28.0,90.0,2.0,22.0,100.0,2026-03-16 02:13:46.000,5.2.0,24.0,remotecv is an OpenCV server for facial and feature recognition.,45.0,45.0,25.0,https://pypi.org/project/remotecv,5398.0,5398.0,24,True,1,,,,,,,,,,,,,,,,,,
3,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2026-04-14 03:01:31.000000,2026-04-14 03:01:29,156.0,16.0,35.0,24.0,58.0,1.0,15.0,64.0,2022-03-31 13:34:23.000,2.0.2,8.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,244.0,244.0,19.0,https://pypi.org/project/libthumbor,57051.0,57051.0,23,True,3,,,,,,,,,,,,,,,,,,
4,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,2017-04-18 07:37:47,163.0,,104.0,15.0,39.0,1.0,71.0,343.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,15.0,,,79352.0,19,False,1,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,10315814.0,,,,,,,
5,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2025-12-08 19:08:29.000000,2025-12-08 19:08:28,164.0,,91.0,12.0,89.0,,81.0,326.0,,,,The quickest way to run thumbor.,,,29.0,,,82384.0,18,True,2,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2023-04-26 14:23:16.465233,27.0,7661787.0,,,,,,,
6,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2025-08-21 08:49:03.000000,2025-08-21 08:47:21,261.0,,74.0,10.0,68.0,1.0,95.0,159.0,2025-08-21 08:49:03.000,7.0.4,25.0,Thumbor AWS extensions.,,,41.0,https://pypi.org/project/tc_aws,1325.0,1325.0,18,True,1,,,,,,,,,,,,14.0,,,,,,
7,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2025-08-21 08:49:03.000000,2025-08-21 08:47:21,261.0,,74.0,10.0,68.0,1.0,95.0,159.0,2025-08-21 08:49:03.000,7.0.4,25.0,Thumbor AWS extensions.,,,41.0,https://pypi.org/project/tc_aws,1325.0,1325.0,18,True,1,,,,,,,,,,,,14.0,,,,,,
8,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2026-04-21 19:33:29.000000,2026-04-10 05:56:52,249.0,13.0,18.0,3.0,330.0,3.0,30.0,25.0,2025-08-26 14:26:15.000,0.9.1,10.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,https://pypi.org/project/thumbor-aws,4467.0,4467.0,17,True,2,,,,,,,,,,,,,,,,,,
9,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2026-04-21 19:33:29.000000,2026-04-10 05:56:52,249.0,13.0,18.0,3.0,330.0,3.0,30.0,25.0,2025-08-26 14:26:15.000,0.9.1,10.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,https://pypi.org/project/thumbor-aws,4467.0,4467.0,17,True,2,,,,,,,,,,,,,,,,,,
10,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,,12.0,23.0,20.0,,5.0,45.0,2022-01-28 02:08:19.000,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,160.0,160.0,17.0,,,,15,False,1,,,,,,,,,,,,,,,,,,
11,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2020-12-11 07:29:00.000000,,,,21.0,,,5.0,,24.0,2017-09-07 07:05:18.804,0.1.5,6.0,Client Thumbor for Node JS.,20.0,,5.0,,,6230.0,15,False,1,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,20.0,6230.0,,,,,,,,,,,,
12,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2026-04-18 14:50:43.000000,2026-04-18 14:50:09,160.0,2.0,19.0,19.0,101.0,,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,,,16.0,https://pypi.org/project/thumbor-plugins-gifv,19413.0,19413.0,14,True,1,,,,,,,,,,,,,3.0,,,,,
13,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2026-04-10 01:08:38.000000,2026-04-10 01:08:31,138.0,2.0,21.0,2.0,41.0,1.0,11.0,93.0,,,,A django app with templatetags for resizing images with thumbor.,28.0,28.0,8.0,https://pypi.org/project/django-thumbor,7305.0,7305.0,13,True,1,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,,,,
14,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2025-11-24 08:04:39.000000,2024-10-01 09:56:44,58.0,,14.0,4.0,32.0,2.0,9.0,62.0,2024-10-01 10:11:25.000,7.7-2,12.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,4.0,,,1701.0,12,False,2,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2025-08-02 03:09:45.508509,1.0,81667.0,,,,,,,
15,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2026-04-18 14:50:43.000000,2026-04-18 14:50:09,160.0,2.0,19.0,19.0,101.0,,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,,,16.0,https://pypi.org/project/thumbor-plugins-optipng,205.0,205.0,12,True,2,,,,,,,,,,,,,,,,,,
16,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2026-04-08 14:50:57.000000,2024-03-16 05:13:46,686.0,,2.0,,610.0,1.0,2.0,16.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,18.0,12.0,6.0,,,125.0,12,False,2,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,6.0,125.0,,,,,,,,,,,,
17,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2023-01-04 21:39:59.000000,2021-05-25 05:57:57,46.0,,3.0,2.0,10.0,1.0,,8.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,10.0,7.0,6.0,,,518.0,12,False,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,3.0,518.0,,,,,,,,,,,,
18,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2026-03-24 13:47:01.000000,2026-03-24 13:46:58,178.0,1.0,82.0,19.0,51.0,1.0,10.0,643.0,,,,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,,,15.0,,,,11,True,1,,,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,,
19,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2026-04-18 14:50:43.000000,2026-04-18 14:50:09,160.0,2.0,19.0,19.0,101.0,,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,,,16.0,https://pypi.org/project/thumbor-plugins-mozjpeg,49.0,49.0,11,True,2,,,,,,,,,,,,,,,,,,
