,name,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url
26,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,,,4.0,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2025-11-24 08:04:39.000000,10,14.0,4.0,62.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,,,,,,1662.0,True,2,,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2025-08-02 03:09:45.508509,1.0,84801.0,,,,,
27,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,160.0,160.0,17.0,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,10,13.0,,45.0,ruby-thumbor is the client library to thumbor.,,,,,,,,,False,1,-5.0,,,,,,,,,,,,,,,,
28,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,2.0,,5.0,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2025-04-05 22:10:18.000000,10,11.0,2.0,8.0,Thumbor Prometheus metrics extension.,https://pypi.org/project/tc-prometheus,2025-04-05 22:10:18.000,2024-10-24 18:05:18.000,3.0.0,6.0,2.0,969.0,969.0,False,1,,,,,,,,,,,,,,,,,
29,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,5.0,2.0,2.0,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2023-12-06 19:46:28.000000,10,3.0,1.0,6.0,Thumbor client for JavaScript.,,,2019-08-05 15:20:38.695,2.2.0,10.0,,,946.0,False,2,,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,3.0,946.0,,,,,,,,,,
30,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,,,2.0,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2023-05-17 10:12:59.000000,10,2.0,,5.0,Thumbor PDF Preview.,https://pypi.org/project/tc_pdf,2017-12-14 00:06:52.000,2023-05-17 10:10:39.472,1.0.0,8.0,,34.0,34.0,False,1,,,,,,,,,,,,,,,,,
31,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,23.0,23.0,4.0,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,10,1.0,2.0,4.0,thumbor-memcached provides storages using memcached as a backend.,https://pypi.org/project/thumbor-memcached,2015-11-04 19:00:35.000,2015-11-04 19:00:35.000,5.1.0,1.0,,428.0,428.0,False,3,,,,,,,,,,,,,,,,,
32,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,10.0,5.0,2.0,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421000,9,2.0,,2.0,a URL builder for Thumbor.,,,2021-09-09 17:19:50.421,2.0.0,5.0,,,168.0,False,3,,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,5.0,168.0,,,,,,,,,,
33,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,8.0,3.0,6.0,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2023-01-23 23:08:27.000000,9,,22.0,1.0,This is an addon for using thumbor based images in apps.,,,2021-10-10 04:26:20.654,1.0.0,17.0,,,87.0,False,3,,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,5.0,87.0,,,,,,,,,,
34,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,4.0,4.0,8.0,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,8,6.0,,33.0,Make easier to generate and manage Thumbor URLs in your Rails project.,,,,,,,,,False,2,,,,,,,,,,,,,,,,,
35,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,,,5.0,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2026-06-29 14:03:03.000000,8,3.0,3.0,29.0,PHP implementation of URL generator for Thumbor.,,,,,,,,,True,1,,,,,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/
36,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,,,2.0,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,8,,2.0,17.0,ImageMagick engine for Thumbor.,https://pypi.org/project/thumbor-wand-engine,2022-01-30 12:53:35.000,2022-01-30 12:53:35.000,0.1.1,2.0,,799.0,799.0,False,3,,,,,,,,,,,,,,,,,
37,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,4.0,3.0,1.0,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2023-10-03 21:02:37.000000,8,5.0,5.0,10.0,Enable thumbor to use AWS rekognition to run face detection.,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04.000,2017-05-09 18:11:04.000,0.1.1,2.0,1.0,11.0,11.0,False,2,,,,,,,,,,,,,,,,,
38,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,5.0,2.0,2.0,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:51:14.941000,8,,,1.0,Thumbor Upload.,,,2021-02-15 18:51:14.941,1.1.0,2.0,,,11.0,False,3,,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,2021-02-15 18:51:14.941,3.0,11.0,,,,,,,,,,
39,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,5.0,2.0,3.0,https://github.com/borgespro/vanilla-thumbor-url-builder,MIT,2019-08-30 21:22:05,2019-09-03 14:21:23.359000,8,,,1.0,Thumbor client for RN.,,,2019-09-03 14:21:23.359,1.0.2,3.0,,,136.0,False,3,,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,2019-09-03 14:21:23.359,3.0,136.0,,,,,,,,,,
40,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,,,1.0,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,8,,,,Some useful extensions to thumbor - extra filters and detectors.,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12.000,2019-09-10 05:49:12.000,1.0.2,5.0,,16.0,16.0,False,2,,,,,,,,,,,,,,,,,
