,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
13,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,23.0,23.0,15.0,15,https://pypi.org/project/thumbor-plugins-mozjpeg,2023-11-07 23:04:42.000,,194.0,194.0,True,2,,,,,,,,,,,,,,,,,,,
14,thumbor-plugins-pngcrush,thumbor/thumbor-plugins,thumbor-plugins-pngcrush,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,23.0,23.0,15.0,15,https://pypi.org/project/thumbor-plugins-pngcrush,2023-11-07 14:30:53.000,,223.0,223.0,True,2,,,,,,,,,,,,,,,,,,,
15,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,23.0,23.0,15.0,15,https://pypi.org/project/thumbor-plugins-jp2,2023-11-07 14:38:11.000,,149.0,149.0,True,2,,,,,,,,,,,,,,,,,,,
16,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,23.0,23.0,15.0,15,https://pypi.org/project/thumbor-plugins-optipng,2023-11-04 21:11:05.000,,271.0,271.0,True,2,,,,,,,,,,,,,,,,,,,
17,thumbor-plugins-pngquant,thumbor/thumbor-plugins,thumbor-plugins-pngquant,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,23.0,23.0,15.0,15,https://pypi.org/project/thumbor-plugins-pngquant,2023-11-07 22:56:14.000,,284.0,284.0,True,2,,,,,,,,,,,,,,,,,,,
18,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2020-12-11 07:29:00.000000,,,,22.0,,,5.0,,21.0,2017-09-07 07:05:18.804,0.1.5,6.0,Client Thumbor for Node JS.,20.0,,5.0,15,,,,,5754.0,False,1,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,20.0,5754.0,,,,,,,,,,,,,
19,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2024-10-08 21:21:57.000000,2024-08-04 08:24:50,131.0,,20.0,2.0,35.0,1.0,11.0,90.0,2024-04-28 21:21:24.000,0.6.0,13.0,A django app with templatetags for resizing images with thumbor.,27.0,27.0,8.0,14,https://pypi.org/project/django-thumbor,2024-04-28 21:21:24.000,,7099.0,7099.0,True,1,,,,,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,
20,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2025-02-02 02:34:53.292117,2024-10-01 09:56:44,58.0,,10.0,4.0,28.0,1.0,8.0,54.0,2024-10-01 10:11:25.000,7.7-2,12.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,4.0,14,,,,,2227.0,True,2,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2025-02-02 02:34:53.292117,1.0,75739.0,,,,,,,,
21,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,23.0,23.0,15.0,14,https://pypi.org/project/thumbor-plugins-jpegrecompress,2023-11-07 23:02:49.000,,145.0,145.0,True,3,,,,,,,,,,,,,,,,,,,
22,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,26.0,27.0,16.0,14.0,11.0,26.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,14,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56.000,,834.0,834.0,False,1,,,,,,,,,,,,16.0,,,,,,,
