,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,docs_url
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2022-02-26 12:19:28.000000,2022-02-04 23:25:24,2293.0,61.0,724.0,201.0,545.0,11.0,859.0,8837.0,2022-01-27 23:15:56,7.0.6,100.0,thumbor is an open-source photo thumbnail service by globo.com.,294.0,294.0,168.0,https://pypi.org/project/thumbor,7942.0,7942.0,34,True,1,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2022-02-27 10:15:56.000000,2022-02-25 18:52:39,3098.0,181.0,16.0,111.0,875.0,57.0,210.0,87.0,2022-02-04 16:27:42,1.5.0,8.0,Digital commerce toolkit for frontend developers.,28.0,28.0,58.0,,,10417.0,26,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,10417.0,,,,,,,,,,
2,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2021-11-17 18:44:40.000000,2017-04-18 07:37:47,163.0,,108.0,17.0,38.0,1.0,71.0,343.0,2017-03-27 14:32:19,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,16.0,,,118945.0,19,False,1,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,9515616.0,,,,,
3,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-02-24 18:05:15.000000,2020-03-16 10:07:44,238.0,,68.0,14.0,62.0,14.0,79.0,143.0,2020-03-16 10:10:05,6.2.15,21.0,Thumbor AWS extensions.,,,34.0,https://pypi.org/project/tc_aws,2711.0,2711.0,18,False,1,,,,,,,,,,8.0,,,,
4,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-02-24 18:05:15.000000,2020-03-16 10:07:44,238.0,,68.0,14.0,62.0,14.0,79.0,143.0,2020-03-16 10:10:05,6.2.15,21.0,Thumbor AWS extensions.,,,34.0,https://pypi.org/project/tc_aws,2711.0,2711.0,18,False,1,,,,,,,,,,8.0,,,,
5,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,22.0,12.0,21.0,20.0,,5.0,43.0,2022-01-28 02:08:19,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,49.0,49.0,16.0,,,,18,True,1,,,,,,,,,,,1.0,,,
6,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2022-01-21 17:14:34.800832,2022-01-09 16:29:33,143.0,2.0,60.0,11.0,48.0,5.0,51.0,232.0,,,,The quickest way to run thumbor.,,,21.0,,,66093.0,17,True,2,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2022-01-21 17:14:34.800832,20.0,2842018.0,,,,,
7,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2022-02-25 18:47:59.000000,2022-02-25 18:47:59,116.0,6.0,27.0,30.0,28.0,6.0,7.0,83.0,2020-03-05 22:41:20,3.0.0,4.0,remotecv is an OpenCV server for facial and feature recognition.,25.0,25.0,15.0,https://pypi.org/project/remotecv,1019.0,1019.0,17,True,1,,,,,,,,,,,-1.0,,,
8,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2022-02-17 14:11:21.000000,2020-02-29 15:53:45,136.0,,29.0,25.0,31.0,3.0,12.0,56.0,2020-02-29 16:02:27,2.0.1,7.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,,,17.0,https://pypi.org/project/libthumbor,14632.0,14632.0,17,False,3,,,,,,,,,,,1.0,,,
9,thumbor-plugins,thumbor/thumbor-plugins,thumbor-plugins,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-02-24 02:16:16.000000,2022-02-24 02:16:12,132.0,61.0,18.0,19.0,54.0,3.0,10.0,28.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins,265.0,265.0,15,True,1,,,,,,,,,,,1.0,,,
10,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2022-02-12 00:09:42.000000,2022-01-24 03:28:36,152.0,14.0,82.0,23.0,34.0,,10.0,622.0,,,,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,,,15.0,,,,14,True,1,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,
11,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,19.0,22.0,16.0,14.0,11.0,24.0,2015-04-12 23:23:07,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,https://pypi.org/project/opencv-engine,450.0,450.0,14,False,1,,,,,,,,,,10.0,1.0,,,
12,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2022-01-28 11:03:18.000000,2022-01-28 11:03:16,111.0,6.0,20.0,2.0,16.0,1.0,9.0,87.0,,,,A django app with templatetags for resizing images with thumbor.,20.0,20.0,7.0,https://pypi.org/project/django-thumbor,3067.0,3067.0,13,True,1,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/
13,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,14.0,,1.0,6.0,1.0,4.0,14.0,2022-01-30 13:01:15,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,https://pypi.org/project/thumbor-wand-engine,133.0,133.0,10,True,3,,,,,,,,,,,,,,
14,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2021-08-11 17:54:10.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,9.0,1.0,,6.0,,,,A React Component that generates images with valid Thumbor URLs for you.,1.0,1.0,6.0,,,1987.0,10,True,1,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,1987.0,,,,,,,,,,
15,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,,2019-10-28 14:36:41,2022-02-28 18:52:44.000000,2022-02-26 01:41:43,491.0,48.0,1.0,,394.0,2.0,1.0,4.0,,,,Immutable TypeScript client for building Thumbor URLs.,7.0,7.0,5.0,,,645.0,10,False,1,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,645.0,,,,,,,,,,
16,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-01-29 21:38:54.000000,2022-01-25 20:14:11,26.0,14.0,3.0,5.0,3.0,1.0,2.0,2.0,2022-01-25 20:34:47,0.4.0,1.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,,https://pypi.org/project/thumbor-aws,190.0,190.0,10,True,2,,,,,,,,,,,,,,
17,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-01-29 21:38:54.000000,2022-01-25 20:14:11,26.0,14.0,3.0,5.0,3.0,1.0,2.0,2.0,2022-01-25 20:34:47,0.4.0,1.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,,https://pypi.org/project/thumbor-aws,190.0,190.0,10,True,2,,,,,,,,,,,,,,
18,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2020-02-13 13:33:09.000000,2020-02-13 13:33:08,137.0,,4.0,2.0,17.0,3.0,9.0,17.0,,,,Django storage backend for Thumbor.,5.0,5.0,5.0,https://pypi.org/project/django-thumborstorage,641.0,641.0,9,False,2,,,,,,,,,,,,,,
19,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2022-02-17 17:38:40.000000,2015-10-14 13:58:26,14.0,,10.0,6.0,4.0,3.0,1.0,10.0,2015-08-14 14:24:27,1.0.0,1.0,Redis support.,,,,https://pypi.org/project/tc_redis,374.0,374.0,9,False,3,,,,,,,,,,,,,,
20,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2022-01-13 00:48:40.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,7.0,2.0,,10.0,,,,Enable thumbor to use AWS rekognition to run face detection.,,,,https://pypi.org/project/thumbor_rekognition,33.0,33.0,9,False,2,,,,,,,,,,,1.0,,,
21,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,2.0,4.0,3.0,2.0,,3.0,,,,thumbor-memcached provides storages using memcached as a backend.,17.0,17.0,4.0,https://pypi.org/project/thumbor-memcached,286.0,286.0,9,False,3,,,,,,,,,,,,,,
22,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,4.0,4.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,,,314.0,8,False,3,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,15388.0,,,,,
23,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2022-02-22 23:03:50.000000,2021-10-25 09:43:39,142.0,,,1.0,237.0,2.0,1.0,1.0,2021-10-10 04:19:51,1.0.0,7.0,This is an addon for using thumbor based images in apps.,,,6.0,,,27.0,8,True,2,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,27.0,,,,,,,,,,
24,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,5.0,3.0,10.0,,2.0,33.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,1.0,1.0,10.0,,,,7,False,2,,,,,,,,,,,,,,
25,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2022-02-05 13:50:02.582077,2022-02-05 13:47:23,37.0,2.0,3.0,2.0,3.0,4.0,4.0,15.0,,,,Unofficial thumbor docker image.,,,3.0,,,89.0,7,True,3,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2022-02-05 13:50:02.582077,1.0,3758.0,,,,,
