,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,docs_url,trending
53,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 14:59:58.000000,2019-02-07 14:59:18,8.0,,,1.0,,1.0,,,,,,Thumbor plugin for Apache Cassandra.,,,2.0,https://pypi.org/project/thumbor-cassandra,36.0,36.0,4,False,3,,,,,,,,,,,,,,
54,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,https://github.com/sport1online/thumbor-focus-filter,,2018-05-04 16:38:20,2018-06-12 20:06:03.000000,2018-06-08 13:51:00,13.0,,,14.0,,1.0,,,,,,A Focus filter for Thumbor.,,,,https://pypi.org/project/thumbor-focus-filter,50.0,50.0,4,False,2,,,,,,,,,,,,,,
55,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,,{},,,,,,,,,,,,,,,,,,,,,,10262.0,4,False,3,,thumbor,https://www.npmjs.com/package/thumbor,10262.0,,,,,,,,,,
56,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/dekproject/thumbor,https://github.com/dekproject/thumbor,MIT,2020-08-07 16:40:16,2020-08-07 20:24:29.000000,2020-08-07 20:24:22,3.0,,,1.0,,,,,,,,Thumbor interface plugin for DEK.,,,,,,14.0,4,False,3,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,14.0,,,,,,,,,,
57,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:18:52.000000,2021-09-09 17:18:46,19.0,,1.0,2.0,1.0,,2.0,2.0,,,,a URL builder for Thumbor.,1.0,1.0,2.0,,,1071.0,3,True,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,1071.0,,,,,,,,,,
58,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:00:41.000000,2017-02-27 13:00:30,3.0,,,1.0,,1.0,,,2017-02-23 14:12:55,0.1.0,1.0,,,,,https://pypi.org/project/thumbor_head,23.0,23.0,3,False,3,,,,,,,,,,,,,,
59,remotecv-multidir,benneic/remotecv_multidir,remotecv-multidir,[],detectors,https://github.com/benneic/remotecv_multidir,https://github.com/benneic/remotecv_multidir,MIT,2020-03-02 23:44:27,2020-03-03 01:11:42.000000,2020-03-03 01:11:34,2.0,,,2.0,,1.0,,,,,,,,,,https://pypi.org/project/remotecv-multidir,58.0,58.0,3,False,3,,,,,,,,,,,,,,
60,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],python-url-and-framework,https://github.com/dgarana/thumbor-aliases,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-06-16 14:42:58.000000,2019-06-16 14:42:20,19.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,4.0,https://pypi.org/project/thumbor-aliases,51.0,51.0,3,False,3,,,,,,,,,,,,,,
61,react-thumbor,clayrisser/react-thumbor,,"['node', 'react', 'thumbor7']",js-url-and-framework,https://github.com/clayrisser/react-thumbor,https://github.com/clayrisser/react-thumbor,,2016-12-06 00:06:20,2016-12-07 06:32:56.000000,2016-12-07 06:32:34,25.0,,,1.0,,,,,,,,,,,,,,86.0,3,False,3,,react-thumbor,https://www.npmjs.com/package/react-thumbor,86.0,,,,,,,,,,
62,thumbor-padding,arcivr/thumbor-padding,thumbor-padding,[],filters,https://github.com/arcivr/thumbor-padding,https://github.com/arcivr/thumbor-padding,,2018-08-08 14:41:30,2022-01-24 16:48:35.000000,2022-01-24 16:48:35,5.0,1.0,,3.0,,,1.0,2.0,,,,Padding filter for thumbor.,,,,https://pypi.org/project/thumbor-padding,43.0,43.0,2,False,3,,,,,,,,,,,,,,
63,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,,{},,,,,,,,,,,,,,,,A filter for clipping images differently than what thumbor does.,,,,https://pypi.org/project/mg-thumbor,118.0,118.0,1,False,3,,,,,,,,,,,,,,
