,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,docs_url,trending
20,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2022-03-08 09:03:53.000000,2022-03-08 08:49:12,145.0,8.0,4.0,2.0,20.0,3.0,9.0,17.0,,,,Django storage backend for Thumbor.,5.0,5.0,5.0,https://pypi.org/project/django-thumborstorage,842.0,842.0,10,True,2,,,,,,,,,,,,,,
21,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-30 12:57:32.000000,2022-01-30 12:51:43,100.0,14.0,,1.0,6.0,1.0,4.0,14.0,2022-01-30 13:01:15,0.1.1,2.0,ImageMagick engine for Thumbor.,,,2.0,https://pypi.org/project/thumbor-wand-engine,85.0,85.0,10,True,3,,,,,,,,,,,,,,
22,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2021-08-11 17:54:10.000000,2021-05-25 05:57:57,46.0,,4.0,3.0,9.0,1.0,,7.0,,,,A React Component that generates images with valid Thumbor URLs for you.,1.0,1.0,6.0,,,2092.0,10,True,1,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2092.0,,,,,,,,,,
23,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,,2019-10-28 14:36:41,2022-03-21 20:47:57.000000,2022-03-21 20:47:55,505.0,59.0,1.0,,407.0,2.0,1.0,4.0,,,,Immutable TypeScript client for building Thumbor URLs.,7.0,7.0,5.0,,,348.0,10,False,1,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,348.0,,,,,,,,,,
24,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-03-22 06:31:35.000000,2022-03-16 02:08:19,27.0,15.0,6.0,5.0,5.0,3.0,2.0,3.0,2022-01-25 20:34:47,0.4.0,1.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,2.0,https://pypi.org/project/thumbor-aws,160.0,160.0,10,True,3,,,,,,,,,,,,,,
25,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-03-22 06:31:35.000000,2022-03-16 02:08:19,27.0,15.0,6.0,5.0,5.0,3.0,2.0,3.0,2022-01-25 20:34:47,0.4.0,1.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,2.0,https://pypi.org/project/thumbor-aws,160.0,160.0,10,True,2,,,,,,,,,,,,,,
26,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2022-03-11 23:25:43.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,8.0,2.0,,10.0,,,,Enable thumbor to use AWS rekognition to run face detection.,,,,https://pypi.org/project/thumbor_rekognition,43.0,43.0,9,False,2,,,,,,,,,,,,,,
27,thumbor-memcached,thumbor-community/thumbor-memcached,thumbor-memcached,[],storage-and-result-storage,https://github.com/thumbor-community/thumbor-memcached,https://github.com/thumbor-community/thumbor-memcached,MIT,2015-11-04 18:31:33,2017-07-05 15:04:24.000000,2017-07-05 15:04:23,14.0,,2.0,4.0,3.0,2.0,,3.0,,,,thumbor-memcached provides storages using memcached as a backend.,17.0,17.0,4.0,https://pypi.org/project/thumbor-memcached,269.0,269.0,9,False,3,,,,,,,,,,,,,,
28,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,4.0,4.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,,,320.0,8,False,3,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,16047.0,,,,,
29,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2022-03-21 23:03:32.000000,2021-10-25 09:43:39,142.0,,,1.0,239.0,2.0,1.0,1.0,2021-10-10 04:19:51,1.0.0,7.0,This is an addon for using thumbor based images in apps.,,,6.0,,,35.0,8,True,2,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,35.0,,,,,,,,,,
30,thumbor_rails,rafaelcaricio/thumbor_rails,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/rafaelcaricio/thumbor_rails,https://github.com/rafaelcaricio/thumbor_rails,MIT,2014-05-26 08:15:08,2018-03-26 11:55:02.000000,2018-03-26 11:55:01,56.0,,5.0,3.0,10.0,,2.0,33.0,,,,Make easier to generate and manage Thumbor URLs in your Rails project.,1.0,1.0,10.0,,,,7,False,2,,,,,,,,,,,,,,
31,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2022-02-05 13:50:02.582077,2022-02-05 13:47:23,37.0,2.0,3.0,2.0,3.0,4.0,4.0,15.0,,,,Unofficial thumbor docker image.,,,3.0,,,88.0,7,True,3,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2022-02-05 13:50:02.582077,1.0,3817.0,,,,,
32,tc_pdf,intellisense/tc_pdf,tc_pdf,"['python3', 'thumbor7', 'tc']",others,https://github.com/intellisense/tc_pdf,https://github.com/intellisense/tc_pdf,MIT,2017-12-14 00:34:17,2020-03-09 07:43:49.000000,2017-12-18 19:31:30,13.0,,1.0,2.0,1.0,1.0,,4.0,2017-12-15 17:26:59,0.0.7,3.0,Thumbor PDF Preview.,,,,https://pypi.org/project/tc_pdf,127.0,127.0,7,False,1,,,,,,,,,,,,,,
33,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",python-url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2021-11-18 21:26:35.000000,2021-11-18 21:26:35,227.0,,2.0,1.0,40.0,1.0,,2.0,,,,A Thumbor server extension for DASH.,,,5.0,https://pypi.org/project/thumbor_dash,697.0,697.0,7,True,3,,,,,,,,,,,,,,
34,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,,,,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,164.0,164.0,7,False,2,,,,,,,,,,,,,,
35,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,,,,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,164.0,164.0,7,False,1,,,,,,,,,,,,,,
36,jekyll-thumbor,myles/jekyll-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/myles/jekyll-thumbor,https://github.com/myles/jekyll-thumbor,MIT,2017-03-21 13:13:47,2019-11-21 14:26:00.000000,2019-11-21 14:26:00,30.0,,1.0,2.0,1.0,1.0,1.0,,2017-06-22 16:00:19,0.4.2,2.0,A Jekyll template tag for Thumbor imaging service.,24.0,24.0,3.0,,,0.0,7,False,2,,,,,,,,,,8.0,,,,
37,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,,2019-12-24 21:34:29,2022-02-16 01:15:52.000000,2022-02-16 01:15:47,53.0,4.0,2.0,3.0,2.0,3.0,5.0,19.0,,,,An engine and tools for manipulating videos with thumbor using ffmpeg.,,,2.0,https://pypi.org/project/thumbor-video-engine,296.0,296.0,6,False,3,,,,,,,,,,,,,,
38,thumbor-versionable,vjustov/thumbor-versionable,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/vjustov/thumbor-versionable,https://github.com/vjustov/thumbor-versionable,MPL-2.0,2014-12-14 00:00:32,2015-11-30 16:39:10.000000,2015-11-30 16:38:57,41.0,,4.0,3.0,14.0,3.0,7.0,10.0,,,,A Thumbor client that lets you specify versions of given image.,1.0,1.0,2.0,,,,6,False,3,,,,,,,,,,,,,,
39,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,,2012-02-21 14:43:57,2015-06-23 13:03:39.000000,2015-06-23 13:03:39,95.0,,8.0,2.0,6.0,2.0,,9.0,,,,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,https://pypi.org/project/thumbor_hbase,167.0,167.0,6,False,2,,,,,,,,,,,,,,
40,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-03-07 12:52:09.000000,2022-02-02 18:51:50,20.0,8.0,1.0,31.0,2.0,,1.0,2.0,,,,Distributed collage is a filter for creating side-by-side images.,,,3.0,https://pypi.org/project/thumbor-distributed-collage-filter,79.0,79.0,6,True,2,,,,,,,,,,,,,,
