,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads,new_addition,github_release_downloads,docs_url,npm_dependent_project_count
20,thumbor-js-url-builder,heysafronov/thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/heysafronov/thumbor-url-builder,https://github.com/heysafronov/thumbor-url-builder,MIT,2018-12-07 21:13:05,2020-01-28 17:52:23.000,2020-01-28 17:52:17,46.0,,3.0,2.0,1.0,,,5.0,2019-08-05 15:20:38.695,2.2.0,10,Thumbor client for JavaScript.,,,2.0,9,,,,,543,False,3,,thumbor-js-url-builder,https://www.npmjs.com/package/thumbor-js-url-builder,2019-08-05 15:20:38.695,543.0,True,,,
21,thumbor_hbase,dhardy92/thumbor_hbase,thumbor_hbase,[],loaders,https://github.com/dhardy92/thumbor_hbase,https://github.com/dhardy92/thumbor_hbase,MIT,2012-02-21 14:43:57,2015-06-23 13:03:39.000,2015-06-23 13:03:39,95.0,,8.0,2.0,6.0,2.0,,9.0,,,11,hbase storage for thumbor (https://github.com/globocom/thumbor).,,,5.0,8,https://pypi.org/project/thumbor_hbase,2013-05-16 10:36:00,,37.0,37,False,2,,,,,,,,,
22,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2017-11-02 23:29:35.000,2017-03-17 15:38:17,11.0,,3.0,2.0,1.0,2.0,1.0,4.0,2017-03-17 15:47:29.000,0.1.1,2,Thumbor Prometheus metrics extension.,1.0,,,8,https://pypi.org/project/tc-prometheus,2017-03-17 15:47:29,1.0,200.0,200,False,1,,,,,,,,,
23,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2020-06-30 13:25:48.000,2020-06-30 13:23:39,17.0,,,3.0,1.0,1.0,,3.0,2017-08-21 20:31:57.000,0.2.0,4,Thumbor filter to convert between ICC profiles.,,,,8,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57,,29.0,29,False,1,,,,,,,,,
24,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421,2021-09-09 17:18:46,19.0,,1.0,2.0,1.0,,2.0,2.0,2021-09-09 17:19:50.421,2.0.0,3,a URL builder for Thumbor.,1.0,1.0,2.0,8,,,,,705,True,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,705.0,,,,
25,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:51:14.941,2021-02-15 18:45:44,10.0,,,3.0,,,,1.0,2021-02-15 18:51:14.941,1.1.0,2,Thumbor Upload.,,,2.0,8,,,,,6,True,3,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,2021-02-15 18:51:14.941,6.0,,,,
26,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,MIT,2019-08-30 21:22:05,2019-09-03 14:21:23.359,2019-08-31 17:46:27,45.0,,,,,,,1.0,2019-09-03 14:21:23.359,1.0.2,3,Thumbor client for RN.,,,3.0,8,,,,,26,False,3,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,2019-09-03 14:21:23.359,26.0,True,,,
27,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5,Some useful extensions to thumbor - extra filters and detectors.,,,,8,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12,,37.0,37,False,2,,,,,,,,,
28,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5,Some useful extensions to thumbor - extra filters and detectors.,,,,8,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12,,37.0,37,False,1,,,,,,,,,
29,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/dekproject/thumbor,https://github.com/dekproject/thumbor,MIT,2020-08-07 16:40:16,2020-08-07 20:24:48.049,2020-08-07 20:24:22,3.0,,,1.0,,,,,2020-08-07 20:24:48.049,1.0.1,2,Thumbor interface plugin for DEK.,,,,8,,,,,11,False,3,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,2020-08-07 20:24:48.049,11.0,,,,
